id,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2],author_Beus,author_Inasaka,author_Janssen,author_Kossolapov,author_Mortimore,author_Peskov,author_Richenderfer,author_Thompson,author_Weatherhead,author_Williams,geometry_annulus,geometry_plate,geometry_tube
74,6.89,1912.0,0.04817351,12.8,12.8,1930.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
75,6.93,3838.0,-0.0019224653,10.8,10.8,864.0,6.6,0,0,0,0,0,0,0,1,0,0,0,0,1
76,6.89,6618.0,-0.054930266,10.3,10.3,794.0,6.7,0,0,0,0,0,0,0,1,0,0,0,0,1
78,13.79,2712.0,-0.0668683,7.7,7.7,457.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
81,9.0,4069.0,0.049028013,11.5,11.5,864.0,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1
85,11.03,2729.0,0.09613749,5.6,,2134.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0
93,6.89,5479.0,-0.012366711,23.6,,1972.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
95,6.89,4069.0,0.07779491,10.8,10.8,432.0,2.3,0,0,0,0,0,0,0,1,0,0,0,0,1
97,6.89,3052.0,0.06639608,22.2,96.3,,2.3,0,0,1,0,0,0,0,0,0,0,1,0,0
99,6.89,1356.0,0.0680958,23.6,23.6,1972.0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1
112,12.07,2102.0,0.017492857,,1.9,696.0,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
116,10.34,5506.0,-0.070249125,10.8,10.8,762.0,5.5,0,0,0,0,0,0,0,1,0,0,0,0,1
119,13.79,1980.0,0.089093715,7.7,7.7,457.0,1.8,0,0,0,0,0,0,0,0,1,0,0,0,1
120,,2767.0,0.002291206,12.7,,737.0,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0
122,6.86,,-0.020951482,10.8,10.8,,6.5,0,0,0,0,0,0,0,1,0,0,0,0,1
127,18.96,,-0.12151122,1.9,,152.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
137,13.79,888.0,0.07210718,7.8,7.8,591.0,2.3,0,0,0,0,0,0,0,1,0,0,0,0,1
143,,3933.0,-0.04687796,10.3,10.3,762.0,4.8,0,0,0,0,0,0,0,1,0,0,0,0,1
146,12.07,4028.0,-0.036798783,1.9,1.9,152.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
148,13.79,2116.0,0.071171865,,7.8,591.0,2.1,0,0,0,0,0,0,0,1,0,0,0,0,1
149,13.79,5588.0,-0.1000541,,4.7,318.0,4.6,0,0,0,0,0,0,0,1,0,0,0,0,1
150,10.34,7378.0,-0.11181249,10.3,10.3,762.0,9.0,0,0,0,0,0,0,0,1,0,0,0,0,1
155,8.27,2712.0,0.07160938,5.6,15.2,2134.0,2.3,1,0,0,0,0,0,0,0,0,0,1,0,0
161,6.89,6144.0,-0.053395774,10.3,,794.0,6.9,0,0,0,0,0,0,0,1,0,0,0,0,1
164,6.89,1031.0,-0.008825139,,10.8,432.0,6.6,0,0,0,0,0,0,0,1,0,0,0,0,1
168,13.79,2672.0,0.018550824,7.7,7.7,457.0,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1
171,,3052.0,-0.016606782,4.6,11.3,,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0
177,13.79,,-0.11795717,7.7,7.7,457.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1
182,12.07,3038.0,-0.04875744,1.9,1.9,696.0,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1
183,15.17,2685.0,-0.012346379,,9.5,,3.5,0,0,0,0,0,0,0,0,0,1,0,0,1
185,13.79,2021.0,-0.054471295,,,,3.9,0,0,0,0,0,0,0,0,1,0,0,0,1
186,10.34,3960.0,-0.052885834,10.3,,762.0,5.5,0,0,0,0,0,0,0,1,0,0,0,0,1
188,13.79,1351.0,0.035741575,7.7,7.7,457.0,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
190,13.79,3974.0,-0.04270326,1.9,1.9,152.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
192,,4096.0,-0.0031333268,,10.8,432.0,4.4,0,0,0,0,0,0,0,1,0,0,0,0,1
200,13.79,3648.0,-0.051654987,1.9,1.9,152.0,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1
203,13.79,1260.0,0.08120674,7.8,7.8,591.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
204,,4001.0,-0.01740159,,10.3,794.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
206,6.89,1519.0,0.04797723,12.7,42.3,1778.0,3.2,0,0,1,0,0,0,0,0,0,0,1,0,0
207,6.89,833.0,0.009382636,12.7,38.1,737.0,4.3,0,0,1,0,0,0,0,0,0,0,1,0,0
209,6.93,4042.0,0.039488222,10.8,10.8,3048.0,4.7,0,0,0,0,0,0,0,1,0,0,0,0,1
210,13.79,3933.0,-0.03803488,,1.9,696.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
211,,,0.03248882,,15.2,2134.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0
214,6.89,5221.0,-0.050171018,10.3,10.3,762.0,5.4,0,0,0,0,0,0,0,1,0,0,0,0,1
215,11.03,2740.0,0.09609168,5.6,,2134.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0
216,,2740.0,0.043049496,5.6,15.2,2134.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0
218,14.0,2200.0,0.06469679,10.0,10.0,565.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
221,13.79,2645.0,0.057874944,7.7,7.7,457.0,1.9,0,0,0,0,0,0,0,0,1,0,0,0,1
223,,4069.0,0.068334274,11.5,,2007.0,2.4,0,0,0,0,0,0,0,1,0,0,0,0,1
227,0.1,1967.0,0.06766773,1.0,1.0,25.0,5.7,0,0,0,0,0,0,0,1,0,0,0,0,1
233,13.79,2319.0,-0.0019969675,,1.9,152.0,2.1,0,0,0,0,0,0,0,1,0,0,0,0,1
237,13.79,7391.0,-0.13356134,4.7,4.7,318.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1
240,13.79,2753.0,-0.095931955,4.7,4.7,318.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1
241,6.89,1519.0,0.044355065,12.7,42.3,1778.0,3.4,0,0,1,0,0,0,0,0,0,0,1,0,0
245,6.89,3513.0,0.035750333,10.8,10.8,432.0,3.8,0,0,0,0,0,0,0,1,0,0,0,0,1
249,13.79,,-0.0076150573,,,,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
254,6.79,,-0.011890895,10.8,10.8,432.0,7.7,0,0,0,0,0,0,0,1,0,0,0,0,1
258,13.79,1926.0,0.031665377,,4.6,295.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
260,6.89,1519.0,0.084071115,,42.3,,2.3,0,0,1,0,0,0,0,0,0,0,1,0,0
261,18.96,1383.0,-0.14893377,1.9,1.9,152.0,9.4,0,0,0,0,0,0,0,1,0,0,0,0,1
268,13.79,1063.0,-0.031505577,,,318.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
271,13.79,332.0,0.12431355,,11.1,457.0,1.2,0,0,0,0,0,0,0,0,1,0,0,0,1
273,3.45,3784.0,0.091854855,10.3,10.3,762.0,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
280,13.79,1482.0,0.07619382,7.8,7.8,591.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
282,,1505.0,0.08775642,12.7,42.3,1778.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0
285,12.0,4028.0,0.0032049902,10.0,,1650.0,3.8,0,0,0,0,0,0,0,1,0,0,0,0,1
288,9.69,5615.0,-0.022258531,6.4,15.9,914.0,3.7,1,0,0,0,0,0,0,0,0,0,1,0,0
292,6.89,,0.049179707,10.3,10.3,762.0,2.4,0,0,0,0,0,0,0,1,0,0,0,0,1
293,10.34,7432.0,-0.0981148,,10.3,762.0,7.3,0,0,0,0,0,0,0,1,0,0,0,0,1
294,18.27,2889.0,-0.07937341,3.0,3.0,150.0,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1
296,9.65,1519.0,0.009523537,12.7,42.3,,3.4,0,0,1,0,0,0,0,0,0,0,1,0,0
303,13.79,2061.0,0.09307956,7.7,,457.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,1
305,20.0,4028.0,-0.08348949,10.0,10.0,,4.1,0,0,0,0,0,1,0,0,0,0,0,0,1
306,,4069.0,0.002926186,10.8,10.8,864.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
308,9.68,,0.021049904,12.7,,914.0,2.7,0,0,1,0,0,0,0,0,0,0,1,0,0
316,6.92,762.0,0.018079955,,24.6,1778.0,5.2,0,0,1,0,0,0,0,0,0,0,1,0,0
317,4.1,4055.0,0.061122026,10.8,10.8,864.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1
319,4.13,1478.0,0.08247766,12.7,42.3,,2.3,0,0,1,0,0,0,0,0,0,0,1,0,0
321,3.45,,0.04099866,,10.3,762.0,4.5,0,0,0,0,0,0,0,1,0,0,0,0,1
322,13.79,4096.0,0.03706435,,5.6,864.0,2.6,0,0,0,0,0,0,0,1,0,0,0,0,1
326,13.79,,0.08293144,4.6,4.6,295.0,2.9,0,0,0,0,0,0,0,1,0,0,0,0,1
327,,4071.0,0.100719124,9.5,,1836.0,1.7,0,0,0,0,0,0,0,0,0,1,0,0,1
330,13.79,1682.0,-0.1356359,7.7,7.7,457.0,10.6,0,0,0,0,0,0,0,0,1,0,0,0,1
333,10.34,5588.0,-0.055529304,10.3,10.3,,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1
338,15.51,1500.0,0.10560826,5.6,15.2,2134.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0
339,0.1,6212.0,0.05651178,1.7,1.7,43.0,7.9,0,0,0,0,0,0,0,1,0,0,0,0,1
340,3.83,4123.0,0.053909644,10.8,10.8,432.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
341,13.79,1356.0,0.09019216,7.7,7.7,457.0,1.8,0,0,0,0,0,0,0,1,0,0,0,0,1
342,9.68,2278.0,0.035013776,12.7,42.3,1778.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0
347,13.79,1383.0,0.08253704,7.7,7.7,,1.6,0,0,0,0,0,0,0,1,0,0,0,0,1
348,6.87,2306.0,-0.017684154,4.6,,1778.0,11.0,0,0,1,0,0,0,0,0,0,0,1,0,0
352,6.86,1899.0,0.03264211,10.8,10.8,,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1
355,,4611.0,-0.051819686,10.3,10.3,794.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1
358,6.89,5900.0,-0.013296286,10.3,10.3,794.0,3.9,0,0,0,0,0,0,0,1,0,0,0,0,1
361,13.79,694.0,0.0015280483,7.7,7.7,457.0,2.8,0,0,0,0,0,0,0,0,1,0,0,0,1
362,13.79,2645.0,0.02216879,7.7,7.7,,2.7,0,0,0,0,0,0,0,1,0,0,0,0,1
364,11.03,,0.023632284,11.5,,914.0,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1
369,13.79,4136.0,-0.021538252,,4.7,318.0,3.8,0,0,0,0,0,0,0,1,0,0,0,0,1
371,13.79,685.0,0.019118736,11.1,11.1,457.0,2.2,0,0,0,0,0,0,0,0,1,0,0,0,1
381,15.51,1356.0,0.11642405,5.6,15.2,2134.0,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0
383,13.79,4204.0,0.031600244,4.6,4.6,295.0,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1
387,6.79,2034.0,0.043124814,10.8,10.8,432.0,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1
389,2.63,2753.0,-0.01622014,3.0,3.0,,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
397,10.34,3947.0,0.02764549,10.3,,762.0,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
400,,3472.0,-0.05120093,1.9,1.9,696.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1
402,,3665.0,0.034686632,,15.2,,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
403,6.89,5249.0,-0.034319393,,10.3,762.0,4.8,0,0,0,0,0,0,0,1,0,0,0,0,1
407,13.79,3757.0,-0.076094605,4.7,4.7,305.0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,1
415,6.89,5859.0,-0.04571677,,10.3,794.0,6.4,0,0,0,0,0,0,0,1,0,0,0,0,1
417,0.1,1484.0,-0.07163725,15.0,120.0,10.0,8.0,0,0,0,1,0,0,0,0,0,0,0,1,0
426,3.86,,0.05244954,10.8,,432.0,4.7,0,0,0,0,0,0,0,1,0,0,0,0,1
429,6.92,1533.0,0.114565656,,22.3,2591.0,2.6,0,0,1,0,0,0,0,0,0,0,1,0,0
432,13.79,1655.0,0.06884591,7.7,7.7,,1.8,0,0,0,0,0,1,0,0,0,0,0,0,1
434,6.86,4032.0,0.03737781,10.8,10.8,,3.1,0,0,0,0,0,0,0,1,0,0,0,0,1
438,11.0,2034.0,0.02380784,,11.5,914.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
440,6.89,2780.0,0.025129022,12.7,38.1,737.0,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0
441,6.89,553.0,0.07672021,12.7,38.1,737.0,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0
449,13.79,1316.0,-0.06565597,3.6,3.6,76.0,2.9,0,0,0,0,0,0,0,1,0,0,0,0,1
450,13.79,3703.0,-0.037827335,4.7,4.7,,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1
455,6.89,6266.0,-0.056024015,10.3,10.3,794.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,1
456,0.51,2000.0,-0.04288755,15.0,120.0,10.0,10.8,0,0,0,0,0,0,1,0,0,0,0,1,0
458,,2034.0,0.031373903,10.8,,432.0,3.4,0,0,0,0,0,0,0,1,0,0,0,0,1
459,6.89,734.0,0.027393686,23.6,23.6,610.0,3.1,0,0,0,0,0,0,0,1,0,0,0,0,1
460,13.79,673.0,0.10058517,,11.1,457.0,1.3,0,0,0,0,0,0,0,0,1,0,0,0,1
461,6.89,5533.0,-0.017912671,10.3,10.3,794.0,4.2,0,0,0,0,0,0,0,1,0,0,0,0,1
462,6.86,1519.0,0.11917039,,22.3,2743.0,2.9,0,0,1,0,0,0,0,0,0,0,1,0,0
466,18.27,1214.0,-0.18851674,3.0,3.0,35.0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1
468,13.79,686.0,0.020899067,11.1,,457.0,2.2,0,0,0,0,0,0,0,0,1,0,0,0,1
469,6.72,4032.0,0.061524134,,10.8,1727.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
472,,678.0,0.040417697,6.4,15.9,914.0,2.8,0,0,1,0,0,0,0,0,0,0,1,0,0
475,13.79,677.0,0.035745304,,7.7,457.0,2.1,0,0,0,0,0,0,0,0,1,0,0,0,1
477,13.79,3648.0,-0.06898561,1.9,1.9,696.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1
479,0.1,1668.0,-0.063745216,15.0,120.0,10.0,5.4,0,0,0,1,0,0,0,0,0,0,0,1,0
486,15.51,5601.0,-0.08934469,1.9,,152.0,7.2,0,0,0,0,0,0,0,1,0,0,0,0,1
487,,2061.0,0.054368366,7.8,7.8,591.0,2.9,0,0,0,0,0,0,0,1,0,0,0,0,1
488,18.96,2184.0,-0.054308314,,1.9,696.0,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
489,6.86,4069.0,0.03245785,10.8,10.8,864.0,3.4,0,0,0,0,0,0,0,1,0,0,0,0,1
491,13.79,2916.0,0.09682533,7.8,7.8,591.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1
495,6.89,3703.0,0.043639615,5.6,5.6,,5.5,0,0,0,0,0,0,0,1,0,0,0,0,1
502,6.93,2726.0,0.083944656,5.6,15.2,2134.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0
503,3.45,6157.0,-0.071617045,3.6,3.6,76.0,6.7,0,0,0,0,0,0,0,1,0,0,0,0,1
504,13.79,1214.0,0.07049454,7.8,7.8,591.0,2.3,0,0,0,0,0,0,0,1,0,0,0,0,1
506,12.07,2740.0,-0.05123043,1.9,1.9,152.0,5.4,0,0,0,0,0,0,0,1,0,0,0,0,1
510,6.89,974.0,0.009655495,4.7,4.7,318.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1
511,13.79,1817.0,0.008929236,7.8,,591.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
513,13.79,1709.0,0.07589013,7.8,7.8,591.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
515,13.79,3673.0,0.015499181,5.6,15.2,2134.0,2.2,1,0,0,0,0,0,0,0,0,0,1,0,0
516,12.0,1000.0,-0.060896423,10.0,10.0,,8.1,0,0,0,0,0,0,0,1,0,0,0,0,1
517,13.79,4073.0,0.051746637,,,1836.0,2.1,0,0,0,0,0,0,0,0,0,1,0,0,1
521,6.89,3825.0,-0.053576555,23.6,23.6,610.0,4.8,0,0,0,0,0,0,0,1,0,0,0,0,1
522,13.79,3838.0,-0.043277085,1.9,1.9,152.0,4.3,0,0,0,0,0,0,0,1,0,0,0,0,1
525,3.86,2034.0,0.07219983,,10.8,432.0,4.4,0,0,0,0,0,0,0,1,0,0,0,0,1
527,6.89,5398.0,-0.019914893,12.8,12.8,1930.0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,1
530,0.64,6700.0,-0.07245366,3.0,3.0,100.0,7.4,0,1,0,0,0,0,0,0,0,0,0,0,1
531,11.03,2666.0,0.06500687,9.5,9.5,1836.0,2.6,0,0,0,0,0,0,0,0,0,1,0,0,1
534,13.79,2021.0,0.089390054,7.7,7.7,457.0,1.8,0,0,0,0,0,0,0,0,1,0,0,0,1
539,,1356.0,0.055409152,7.8,7.8,591.0,2.9,0,0,0,0,0,0,0,1,0,0,0,0,1
541,6.89,7893.0,-0.054537084,10.3,,794.0,8.2,0,0,0,0,0,0,0,1,0,0,0,0,1
542,,1339.0,0.024307515,5.0,13.3,2134.0,2.1,0,0,0,0,1,0,0,0,0,0,1,0,0
545,13.79,1641.0,-0.04247939,,7.8,591.0,6.8,0,0,0,0,0,0,0,1,0,0,0,0,1
555,15.51,,-0.061283827,1.9,1.9,152.0,6.8,0,0,0,0,0,0,0,1,0,0,0,0,1
559,6.89,1980.0,0.052395422,,24.6,1778.0,3.7,0,0,1,0,0,0,0,0,0,0,1,0,0
562,6.72,,0.13021216,10.8,10.8,1727.0,1.8,0,0,0,0,0,0,0,1,0,0,0,0,1
567,13.79,4083.0,0.015491881,9.5,9.5,1836.0,3.4,0,0,0,0,0,0,0,0,0,1,0,0,1
570,6.79,4123.0,-0.0035966653,10.8,,432.0,5.3,0,0,0,0,0,0,0,1,0,0,0,0,1
571,6.89,1899.0,0.0059993058,10.8,10.8,432.0,4.9,0,0,0,0,0,0,0,1,0,0,0,0,1
574,13.79,1804.0,0.034865264,,11.1,457.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1
578,6.92,1519.0,0.119892225,8.5,24.6,1778.0,2.2,0,0,1,0,0,0,0,0,0,0,1,0,0
579,13.79,,0.03131529,5.6,15.2,2134.0,2.3,1,0,0,0,0,0,0,0,0,0,1,0,0
582,13.79,1339.0,0.07900609,,,457.0,1.9,0,0,0,0,0,0,0,1,0,0,0,0,1
584,13.79,,0.03260232,4.7,,318.0,2.6,0,0,0,0,0,0,0,1,0,0,0,0,1
588,18.96,2184.0,-0.11752037,1.9,1.9,696.0,2.7,0,0,0,0,0,0,0,1,0,0,0,0,1
594,0.1,,0.08278844,1.0,1.0,1650.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
596,13.79,2604.0,-0.05331033,1.9,1.9,696.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
601,,5221.0,-0.0760755,4.7,4.7,318.0,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1
606,9.68,,0.017558927,,15.9,914.0,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0
608,6.79,4014.0,-0.023723358,,10.8,216.0,7.0,0,0,0,0,0,0,0,1,0,0,0,0,1
609,13.79,1298.0,0.055580914,7.8,7.8,591.0,2.6,0,0,0,0,0,0,0,1,0,0,0,0,1
610,10.0,1944.0,-0.03701558,10.0,10.0,1000.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,1
611,15.51,,0.08586608,5.6,15.2,2134.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0
616,,,0.056451213,12.7,42.3,1778.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0
619,6.89,5289.0,-0.049742304,10.3,10.3,794.0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,1
620,6.89,6618.0,-0.031558767,10.3,,762.0,4.9,0,0,0,0,0,0,0,1,0,0,0,0,1
621,12.07,2740.0,-0.00714823,,1.9,152.0,2.4,0,0,0,0,0,0,0,1,0,0,0,0,1
623,13.79,2563.0,-0.07988755,3.6,3.6,76.0,3.6,0,0,0,0,0,0,0,1,0,0,0,0,1
627,13.79,678.0,0.10985613,7.7,7.7,,1.8,0,0,0,0,0,0,0,1,0,0,0,0,1
628,,3673.0,-0.014853866,5.6,,2134.0,3.2,1,0,0,0,0,0,0,0,0,0,1,0,0
630,12.34,4500.0,-0.021912761,3.0,3.0,,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1
631,6.83,3838.0,0.023843074,,10.8,,4.2,0,0,0,0,0,0,0,1,0,0,0,0,1
633,11.03,3677.0,0.08748543,5.6,15.2,2134.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0
642,,,-0.033216506,10.8,10.8,,4.8,0,0,0,0,0,0,0,1,0,0,0,0,1
645,13.79,4774.0,-0.09219542,4.7,4.7,318.0,4.9,0,0,0,0,0,0,0,1,0,0,0,0,1
647,12.07,3201.0,-0.036947466,1.9,1.9,696.0,2.9,0,0,0,0,0,0,0,1,0,0,0,0,1
649,13.79,1356.0,-0.17260319,7.7,7.7,457.0,4.6,0,0,0,0,0,0,0,0,1,0,0,0,1
650,6.89,6795.0,-0.032654062,10.3,10.3,,6.6,0,0,0,0,0,0,0,1,0,0,0,0,1
651,13.79,1286.0,-0.00025229141,,7.8,591.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1
652,13.79,1383.0,0.050818354,7.8,,591.0,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1
657,,1500.0,-0.030796174,15.0,120.0,10.0,5.2,0,0,0,0,0,0,1,0,0,0,0,1,0
658,6.89,4001.0,0.0062416033,,10.3,,5.6,0,0,0,0,0,0,0,1,0,0,0,0,1
663,13.79,2007.0,0.028605985,7.7,7.7,457.0,2.3,0,0,0,0,0,0,0,0,1,0,0,0,1
667,6.86,3513.0,0.037886683,10.8,10.8,432.0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1
671,8.27,3684.0,0.03591917,5.6,15.2,2134.0,3.1,1,0,0,0,0,0,0,0,0,0,1,0,0
674,,1031.0,-0.054786585,1.9,1.9,152.0,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1
677,13.79,1390.0,0.12507266,9.5,9.5,1836.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
685,3.45,5967.0,0.010938779,10.3,10.3,762.0,5.3,0,0,0,0,0,0,0,1,0,0,0,0,1
686,7.0,2102.0,0.089281715,10.8,10.8,,2.6,0,0,0,0,0,0,0,1,0,0,0,0,1
688,,2889.0,-0.047455892,,,152.0,6.8,0,0,0,0,0,0,0,1,0,0,0,0,1
689,12.0,4986.0,-0.05106269,10.0,10.0,1000.0,4.1,0,0,0,0,0,1,0,0,0,0,0,0,1
690,6.93,1926.0,0.04300723,10.8,10.8,216.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
693,0.1,1500.0,-0.008044545,15.0,120.0,1300.0,5.3,0,0,0,0,0,0,1,0,0,0,0,0,1
695,6.86,4055.0,0.060233217,10.8,10.8,864.0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1
699,18.27,1221.0,-0.08235352,3.0,,150.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,1
702,13.79,2658.0,0.027148332,7.7,7.7,457.0,2.3,0,0,0,0,0,0,0,0,1,0,0,0,1
705,13.79,1397.0,-0.0033549832,,4.7,305.0,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1
706,13.79,1356.0,0.026600586,7.7,7.7,457.0,2.3,0,0,0,0,0,0,0,0,1,0,0,0,1
713,13.79,2184.0,0.057429668,7.8,7.8,591.0,2.6,0,0,0,0,0,0,0,1,0,0,0,0,1
714,6.89,1533.0,0.13877335,8.5,22.3,1829.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
721,,,0.082632385,7.8,7.8,591.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
724,,,0.03456646,9.5,9.5,1836.0,3.1,0,0,0,0,0,0,0,0,0,1,0,0,1
